Name,Symbol,Exchange
Dhanlaxmi Crop,DHANLAXMI,NSE
Shipwaves Online,544646,BSE
Praruh Tech,544538,BSE
Transrail Light,TRANSRAILL,NSE
Patel Chem,544460,BSE
Royal Sense,544143,BSE
Brace Port,BRACEPORT,NSE
Nirman Agri,NIRMAN,NSE
East India Drums,523874,BSE
Digilogic Systems,544684,BSE
Waaree Energies,WAAREEENER,NSE
Mamata Machinery,MAMATA,NSE
Shanthi Gears,SHANTIGEAR,NSE
Astal Lab,512600,BSE
Sundrex Oil,SOCL,NSE
Insolation Ener,543620,BSE
Star Imaging,544482,BSE
Iware Supplych.,IWARE,NSE
FlySBS Aviation,FLYSBS,NSE
Sharda Motor,SHARDAMOTR,NSE
CRISIL,CRISIL,NSE
Exhicon Events,543895,BSE
Sugs Lloyd,544501,BSE
Ecos (India),ECOSMOBLTY,NSE
Identixweb,544388,BSE
Indiamart Inter.,INDIAMART,NSE
Curis Lifescien.,CURIS,NSE
Gokul Agro,GOKULAGRO,NSE
Cigniti Tech.,CIGNITITEC,NSE
Reliance Infra.,RELINFRA,NSE
Finbud Financial,FINBUD,NSE
Wanbury,WANBURY,NSE
DDev Plastiks,DDEVPLSTIK,NSE
Hind.Aeronautics,HAL,NSE
Effwa Infra,EFFWA,NSE
Srigee DLM,544399,BSE
Marsons,517467,BSE
Deepak Chemtex,544036,BSE
Sobhagya Mercant,512014,BSE
Mason Infratech,MASON,NSE
Dreamfolks Servi,DREAMFOLKS,NSE
Shreeji Ship. Gl,SHREEJISPG,NSE
D.P. Abhushan,DPABHUSHAN,NSE
Fonebox Retail,FONEBOX,NSE
BLS Internat.,BLS,NSE
Ajax Engineering,AJAXENGG,NSE
GRE Renew,544682,BSE
Marushika Tech.,id,NSE
Kaytex Fabrics,KAYTEX,NSE
Astrazeneca Phar,ASTRAZEN,NSE
VVIP Infratech,544219,BSE
Monarch Networth,MONARCH,NSE
IIFL Capital,IIFLCAPS,NSE
Parth Electrical,PARTH,NSE
Jubilant Agri,JUBLCPL,NSE
SRM Contractors,SRM,NSE
NBCC,NBCC,NSE
Luxury Time,544635,BSE
Timescan Logist.,TIMESCAN,NSE
Escorp Asset Mgt,540455,BSE
L. T. Elevator,544518,BSE
Steelcast,STEELCAS,NSE
Indo National,NIPPOBATRY,NSE
RPG LifeScience.,RPGLIFE,NSE
RBM Infracon,RBMINFRA,NSE
Natco Pharma,NATCOPHARM,NSE
KFin Technolog.,KFINTECH,NSE
TAAL Tech,539956,BSE
Apar Inds.,APARINDS,NSE
Rajoo Engineers,RAJOOENG,NSE
Associated Coat.,544183,BSE
Umiya Mobile,544464,BSE
Swastika Investm,530585,BSE
GACM Tech-DVR,GATECHDVR,NSE
Suzlon Energy,SUZLON,NSE
Algoquant Fin,ALGOQUANT,NSE
Manas Polymers,MPEL,NSE
Netweb Technol.,NETWEB,NSE
BharatRohan Air.,544535,BSE
POCL Enterprises,539195,BSE
Emami,EMAMILTD,NSE
Onix Solar,513119,BSE
Ameenji Rubber,544555,BSE
Ajanta Pharma,AJANTPHARM,NSE
Banco Products,BANCOINDIA,NSE
Picturepost Stu.,PPSL,NSE
SK Minerals & Additives,544584,BSE
Jay Bee Laminati,JAYBEE,NSE
Osiajee Texfab,540198,BSE
Eppeltone Ene.,EEPL,NSE
Cryogenic OGS,544440,BSE
Gyan Developers,530141,BSE
Rose Merc.,512115,BSE
Maxvolt Energy,MAXVOLT,NSE
Gayatri Rubbers,GRCL,NSE
Uni Abex Alloy,504605,BSE
Airfloa Rail,544516,BSE
Aryaman Fin.Serv,530245,BSE
Aryaman Capital,538716,BSE
Enviro Infra,EIEL,NSE
Pecos Hotels,539273,BSE
Palco Metals Ltd,539121,BSE
Envirotech Sys.,ENVIRO,NSE
Electrotherm(I),ELECTHERM,NSE
HCL Technologies,HCLTECH,NSE
Sahaj Solar,SAHAJSOLAR,NSE
BLT Logi.,544474,BSE
Shringar House,SHRINGARMS,NSE
Corona Remedies,CORONA,NSE
Tembo Global,TEMBO,NSE
Unicommerce,UNIECOM,NSE
Alldigi Tech,ALLDIGI,NSE
My Mudra Fin.,MYMUDRA,NSE
Foseco India,FOSECOIND,NSE
CLN Energy,544347,BSE
K. V. Toys India,544641,BSE
Balu Forge,BALUFORGE,NSE
Om Metallogic,544559,BSE
JMJ Fintech,538834,BSE
Basilic Fly Stud,BASILIC,NSE
Jayesh Logistics,JAYESH,NSE
Apollo Techno,544671,BSE
Infollion Resea.,INFOLLION,NSE
Desco Infra.,544387,BSE
South. Magnesium,513498,BSE
OSEL Devices,OSELDEVICE,NSE
Aprameya Enginee,APRAMEYA,NSE
Globtier Infotec,544494,BSE
Siddhika Coatins,SIDDHIKA,NSE
Methodhub Software,544637,BSE
Authum Invest,AIIL,NSE
Sayaji Hot. Pune,544090,BSE
Trent,TRENT,NSE
Josts Engg. Co.,505750,BSE
Chamunda Ele.,CHAMUNDA,NSE
Gallard Steel,544616,BSE
Kingfa Science,KINGFA,NSE
Kaycee Inds.,504084,BSE
I T D C,ITDC,NSE
Prime Cable Ind.,PRIMECAB,NSE
Integ. Industrie,531889,BSE
Persistent Systems,PERSISTENT,NSE
Mangal Electrica,MEIL,NSE
Vigor Plast,VIGOR,NSE
Morganite Crucib,523160,BSE
Axis Solution,511144,BSE
Mayasheel Vent.,MAYASHEEL,NSE
TD Power Systems,TDPOWERSYS,NSE
Hero Motocorp,HEROMOTOCO,NSE
Arkade,ARKADE,NSE
IRIS Regtech Solutions,IRIS,NSE
Sanjiv.Parant.,531569,BSE
Readymix Cons.,READYMIX,NSE
Nirlon,500307,BSE
Party Cruisers,PARTYCRUS,NSE
Mahalaxmi Rubtec,MHLXMIRU,NSE
WOL 3D India,WOL3D,NSE
Master Trust,MASTERTR,NSE
Garuda Cons,GARUDA,NSE
Dhillon Freight,544556,BSE
KP Green Engg.,544150,BSE
DRC Systems,DRCSYSTEMS,NSE
Hexaware Tech.,HEXT,NSE
Kothari Petroche,KOTHARIPET,NSE
Force Motors,FORCEMOT,NSE
Captain Techno.,540652,BSE
Prostarm Info,PROSTARM,NSE
S A Tech Soft.,SATECH,NSE
Moving Media,MMEL,NSE
Premier Polyfilm,PREMIERPOL,NSE
Pidilite Inds.,PIDILITIND,NSE
Eicher Motors,EICHERMOT,NSE
Fractal Industries,id,NSE
Samay Project,SAMAY,NSE
Integrity Infra.,INTEGRITY,NSE
Starlineps Enter,540492,BSE
Black Box,BBOX,NSE
Polycab India,POLYCAB,NSE
Suditi Industrie,521113,BSE
Shayona Eng.,544686,BSE
All E Tech,ALLETEC,NSE
ANB Metal,AMCL,NSE
NMDC,NMDC,NSE
Rapid Multimodal,544237,BSE
Kalyani Cast-Tec,544023,BSE
Techknowgreen,543991,BSE
RNFI Services,RNFI,NSE
Bombay Metrics,BMETRICS,NSE
Kay Cee,KCEIL,NSE
MSTC,MSTCLTD,NSE
Clean Science,CLEAN,NSE
Disa India,500068,BSE
Karbonsteel Eng.,544511,BSE
Nagreeka Cap.,NAGREEKCAP,NSE
Tanla Platforms,TANLA,NSE
Aimtron,AIMTRON,NSE
Shlokka Dyes,544582,BSE
Volt.Transform.,VOLTAMP,NSE
Sonata Software,SONATSOFTW,NSE
Sika Interplant,523606,BSE
Armour Security,ARMOUR,NSE
Indus Towers,INDUSTOWER,NSE
Regal Entertain.,531033,BSE
Bharat Coking,BHARATCOAL,NSE
Kamdhenu,KAMDHENU,NSE
Dr Lal Pathlabs,LALPATHLAB,NSE
Chandan Healthca,CHANDAN,NSE
Landmark Global,544341,BSE
SKF India,SKFINDIA,NSE
G M Polyplast,543239,BSE
Systango Tech,SYSTANGO,NSE
Vinsys IT Serv.,VINSYS,NSE
Sattva Eng.,SATTVAENGG,NSE
Sampat Aluminium,544520,BSE
KNR Construct.,KNRCON,NSE
Saraswati Saree,SSDL,NSE
Yash Highvoltage,544310,BSE
Anthem Bioscienc,ANTHEM,NSE
GTV Engineering,539479,BSE
Elecon Engg.Co,ELECON,NSE
Pokarna,POKARNA,NSE
Hindustan Hardy,505893,BSE
M K Exim India,538890,BSE
Shining Tools,544607,BSE
Concord Biotech,CONCORDBIO,NSE
Contil India,531067,BSE
D-Link India,DLINKINDIA,NSE
Rexpro Enter.,REXPRO,NSE
Gulf Oil Lubric.,GULFOILLUB,NSE
Dhanuka Agritech,DHANUKA,NSE
L&T Technology,LTTS,NSE
Kirl.Pneumatic,KIRLPNU,NSE
Loyal Equipments,539227,BSE
Challani Capital,530747,BSE
Solex Energy,SOLEX,NSE
GB Logistics,544348,BSE
Tilaknagar Inds.,TI,NSE
NIIT Learning,NIITMTS,NSE
Nicco Parks,526721,BSE
Urban Enviro,URBAN,NSE
Ken Enter.,KEN,NSE
Z-Tech (India),ZTECH,NSE
Franklin Indust.,540190,BSE
Modern Steels,513303,BSE
Bajaj Auto,BAJAJ-AUTO,NSE
Tinna Rubber,TINNARUBR,NSE
Danlaw Tech.,532329,BSE
Manoj Jewellers,544400,BSE
Emmvee Photovol.,EMMVEE,NSE
Advance Agrolife,ADVANCE,NSE
eClerx Services,ECLERX,NSE
T R I L,TARIL,NSE
Newgen Software,NEWGEN,NSE
KVS Castings,544554,BSE
Munish Forge,MUNISH,NSE
Maithan Alloys,MAITHANALL,NSE
Srivari Spices &,SSFL,NSE
Amic Forging,544037,BSE
Hind. Unilever,HINDUNILVR,NSE
Fiem Industries,FIEMIND,NSE
Cemindia Project,CEMPRO,NSE
LTIMindtree,LTIM,NSE
Likhitha Infra.,LIKHITHA,NSE
Kirl. Brothers,KIRLOSBROS,NSE
Teerth Gopicon,TGL,NSE
ASK Automotive,ASKAUTOLTD,NSE
Ganga Bath Fitt.,GANGABATH,NSE
TGIF Agribusines,544175,BSE
Amwill Health,544353,BSE
SKP Securities,531169,BSE
Gandhi Spl. Tube,GANDHITUBE,NSE
Ambar Protein,519471,BSE
Supreme Power,SUPREMEPWR,NSE
Supriya Lifesci.,SUPRIYA,NSE
Pulz Electronics,PULZ,NSE
BN Agrochem,526125,BSE
Stylam Industrie,STYLAMIND,NSE
Safecure Service,544596,BSE
V.L.Infraproject,VLINFRA,NSE
HBL Engineering,HBLENGINE,NSE
Shivashrit Foods,SHIVASHRIT,NSE
Guj. Themis Bio.,GUJTHEM,NSE
GPT Healthcare,GPTHEALTH,NSE
Inventurus Knowl,IKS,NSE
Jain Resource,JAINREC,NSE
Panorama Studios,539469,BSE
Aaradhya Dis.,AARADHYA,NSE
Jenburkt Pharma,524731,BSE
Vikran Engg.,VIKRAN,NSE
SML Mahindra,SMLMAH,NSE
Intl. Conveyors,INTLCONV,NSE
Macpower CNC,MACPOWER,NSE
Harshdeep Horti.,544105,BSE
Torrent Pharma.,TORNTPHARM,NSE
Beta Drugs Ltd,BETA,NSE
Vruddhi Engineer,544157,BSE
Banganga Paper,512025,BSE
EMS,EMSLIMITED,NSE
Pix Transmission,PIXTRANS,NSE
Advait Energy,ADVAIT,NSE
Quest Laborato.,QUESTLAB,NSE
Prakash Pipes,PPL,NSE
Prabhhans Inds,530361,BSE
Prec. Wires (I),PRECWIRE,NSE
Ajanta Soya,519216,BSE
Chambal Fert.,CHAMBLFERT,NSE
Tiger Logistics,TIGERLOGS,NSE
TBO Tek,TBOTEK,NSE
Trident Techlabs,TECHLABS,NSE
Aakaar Medical,AAKAAR,NSE
Neochem Bio,NEOCHEM,NSE
Ceinsys Tech,538734,BSE
Quality Power El,QPOWER,NSE
Univastu India,UNIVASTU,NSE
Dodla Dairy,DODLA,NSE
Krupalu Metals,544509,BSE
Brijlaxmi Leas.,532113,BSE
Styrenix Perfor.,STYRENIX,NSE
Orient Tech.,ORIENTTECH,NSE
United Spirits,UNITDSPR,NSE
CapitalNumbers,544343,BSE
Chembond Chemic.,CHEMBONDCH,NSE
Ivalue Infosolut,IVALUE,NSE
Vikram Solar,VIKRAMSOLR,NSE
V-Marc India,VMARCIND,NSE
Fine Organic,FINEORG,NSE
Bai-Kakaji Poly.,544670,BSE
Dynamic Cables,DYCL,NSE
Godfrey Phillips,GODFRYPHLP,NSE
Radiant Cash,RADIANTCMS,NSE
AVP Infracon,AVPINFRA,NSE
Nacdac Infra.,544313,BSE
Purple United,PURPLEUTED,NSE
Blue Star,BLUESTARCO,NSE
Shanti Gold,SHANTIGOLD,NSE
DOMS Industries,DOMS,NSE
C2C Advanced,C2C,NSE
Sheetal Univer.,SHEETAL,NSE
Gabriel India,GABRIEL,NSE
Nexxus Petro,544265,BSE
M & B Engineer.,MBEL,NSE
M P K Steels,544553,BSE
Rubicon Research,RUBICON,NSE
Eleganz Interior,ELGNZ,NSE
String Metaverse,534535,BSE
Mittal Sections,544575,BSE
Vedant Fashions,MANYAVAR,NSE
Mahamaya Lifesc.,544611,BSE
Keltech Energies,506528,BSE
Caplin Point Lab,CAPLIPOINT,NSE
Angel One,ANGELONE,NSE
Raghav Product.,RPEL,NSE
Tata Technolog.,TATATECH,NSE
J B Chemicals &,JBCHEPHARM,NSE
Radhika Jeweltec,RADHIKAJWE,NSE
Tatia Global,521228,BSE
3B Blackbio,532067,BSE
Pee Cee Cosma,524136,BSE
Creative Graphic,CGRAPHICS,NSE
Asian Paints,ASIANPAINT,NSE
Revathi Equip,RVTH,NSE
